05/02/2024,REST COCHIMI CAFE,57.42,,990.32
05/02/2024,KOODO MOBILE PAC,61.60,,932.90
04/29/2024,PAYMENT - THANK YOU,,250.00,871.30
04/28/2024,COMPASS ACCOUNT,3.15,,1121.30
04/27/2024,WAL-MART SUPERCENTER#1208,14.70,,1118.15
04/27/2024,RONA HC  61260 COQUITL,4.73,,1103.45
04/26/2024,SPOTIFY,6.71,,1098.72
04/26/2024,BCF - ONLINE SALES & BOOK,145.45,,1092.01
04/26/2024,CUCKOO TRATTORIA,2.99,,946.56
04/25/2024,SALSA MEXICAN RESTAURANT,12.06,,943.57
04/25/2024,PETRO CANADA77918,100.15,,931.51
04/25/2024,BCF - SALISH EAGLE,2.93,,831.36
04/24/2024,KIN'S FARM LEV,9.41,,828.43
04/24/2024,76 - MOSES LAKE FUEL STOP,105.76,,819.02
04/24/2024,PAYMENT - THANK YOU,,250.00,713.26
04/23/2024,EXXON ROCKER 3 #1357,65.58,,963.26
04/22/2024,BCF - ONLINE SALES & BOOK,159.10,,897.68
04/22/2024,FLYING J 684,68.37,,738.58
04/22/2024,PAYMENT - THANK YOU,,250.00,670.21
04/21/2024,EXXON 7-ELEVEN 34712,87.78,,920.21
04/20/2024,TIM HORTONS #104781,21.52,,832.43
04/20/2024,DUNKIN #362744,12.82,,810.91
04/20/2024,SKYWAY CONCESSIONS,10.19,,798.09
04/20/2024,SUNOCO 0628472300,95.28,,787.90
04/19/2024,SHELL C81333,100.00,,692.62
04/19/2024,ZEHRS BARRIE #514,20.03,,592.62
04/19/2024,AIR-SERV A PS710108,2.00,,572.59
04/18/2024,UBER* TRIP,24.40,,570.59
04/18/2024,ZEHRS BARRIE #514,81.47,,546.19
04/17/2024,PAYMENT - THANK YOU,,320.00,464.72
04/16/2024,SHELL C45046,50.00,,784.72
04/16/2024,PAYMENT - THANK YOU,,250.00,734.72
04/15/2024,PAYMENT - THANK YOU,,200.00,984.72
04/14/2024,APPLE.COM/BILL,1.44,,1184.72
04/13/2024,ZEHRS BARRIE #514,21.45,,1183.28
04/12/2024,BASECAMP CLIMBING,28.25,,1161.83
04/11/2024,Amazon.ca Prime Member,11.29,,1133.58
04/10/2024,STARBUCKS COFFEE #5376,11.53,,1122.29
04/08/2024,PAYMENT - THANK YOU,,199.00,1110.76
04/05/2024,DELTA AIR   0066089492354,338.80,,1309.76
