07/07/2024,SQ *MOODY ALES & CO.,9.48,,549.64
07/07/2024,AMZN Mktp CA*R72MA32X1,22.39,,540.16
07/07/2024,AMZN Mktp CA*R76ZM0KX2,27.87,,517.77
07/05/2024,COQ CITY CENTRE AQUATI,6.85,,489.90
07/05/2024,PAYMENT - THANK YOU,,160.00,483.05
07/04/2024,AMZN Mktp CA,,19.03,643.05
07/04/2024,LONDON DRUGS 15,19.03,,662.08
07/03/2024,MEC MOUNTAIN EQUIPMENT,175.05,,643.05
07/02/2024,KOODO MOBILE PAC,77.28,,468.00
06/30/2024,UBER CANADA/UBEREATS,133.26,,390.72
06/29/2024,IOCO ESSO 37872,60.00,,257.46
06/28/2024,LA RUOTA,15.53,,197.46
06/26/2024,AMZN Mktp CA*RC8X36LI1,19.03,,181.93
06/26/2024,SPOTIFY,6.71,,162.90
06/26/2024,COQ CITY CENTRE AQUATI,6.85,,156.19
06/26/2024,PAYMENT - THANK YOU,,148.00,149.34
06/26/2024,PAYMENT - THANK YOU,,10.00,297.34
06/25/2024,URBAN GATE,4.98,,307.34
06/24/2024,RONA HC  61260 COQUITL,12.31,,302.36
06/24/2024,PAYMENT - THANK YOU,,150.00,290.05
06/23/2024,SQ *JJ BEAN COFFEE ROASTE,17.10,,440.05
06/22/2024,AIR-SERV V PS608819,3.00,,422.95
06/22/2024,AIR-SERV V PS608819,3.00,,419.95
06/22/2024,#363 SPORT CHEK,13.21,,416.95
06/20/2024,WAL-MART SUPERCENTER#1208,26.40,,403.74
06/19/2024,PAYMENT - THANK YOU,,150.00,377.34
06/17/2024,WAL-MART SUPERCENTER#1208,7.46,,527.34
06/17/2024,PAYMENT - THANK YOU,,100.00,519.88
06/16/2024,URBAN GATE,4.95,,619.88
06/13/2024,APPLE.COM/BILL,1.44,,614.93
06/13/2024,OK TIRE,10.92,,613.49
06/12/2024,PAYMENT - THANK YOU,,150.00,602.57
06/11/2024,Amazon.ca Prime Member,11.29,,752.57
06/11/2024,POSTNET,35.00,,741.28
06/10/2024,WAL-MART SUPERCENTER#1208,8.05,,706.28
06/10/2024,PAYMENT - THANK YOU,,300.00,698.23
